schema_name,field_name,field_value,equality_operator,is_getgroupfromschema2,getgroupfromschema2_target
CostAllocationMaster,ForPrdTo,*,EQ,False,
CostAllocationMaster,Function,*,EQ,False,
CostAllocationMaster,CostAllocationMode,*,EQ,False,
CostAllocationMaster,costallocationcategory,*,EQ,False,
CostAllocationMaster,AllocationType,*,EQ,False,
CostAllocationMaster,LOB,*,EQ,False,
POCostAllocation1,transactionstatus,"[""Not Released"", "" Rejected""]",IN,False,
POCostAllocation1,documentnumber,*,EQ,False,
POCostAllocation1,ForPrdFrom,*,EQ,False,
POCostAllocation1,ForPrdTo,*,EQ,False,
POCostAllocation1,CostAllocationMethod,*,EQ,False,
TCostAllocationValue,documentnumber,*,EQ,False,
TCostAllocationValue,CostAllocationMethod,*,EQ,False,
TCostAllocationValue,transactionstatus,"[""Not Released"", "" Rejected""]",IN,False,
POCostAllocation,ForPrdFrom,*,EQ,False,
POCostAllocation,ForPrdTo,*,EQ,False,
POCostAllocation,transactionstatus,"[""Not Released"", "" Rejected""]",IN,False,
POCostAllocation,itemid,*,EQ,False,
POCostAllocation,documentnumber,*,EQ,False,
POCostAllocation,CostAllocationMethod,*,EQ,False,
AP,OrganizationName,*,EQ,False,
AP,StrategyName,POApproval,EQ,False,
AP,LOB,*,EQ,False,
AP,Function,*,EQ,False,
AP,ActivityCategory,*,EQ,False,
AP,ActivityType,*,EQ,False,
AP,ActivityName,*,EQ,False,
AP,ActivityCode,*,EQ,False,
AP,Dependency,*,EQ,False,
AP,ForPrdFrom,*,EQ,False,
AP,ForPrdTo,*,EQ,False,
AP,ActivityStatus,*,EQ,False,
AP,TimeinMins,*,EQ,False,
AP,TimeinDays,*,EQ,False,
POWF,DocumentDate,*,EQ,False,
POWF,CostAllocationMethod,*,EQ,False,
POWF,Function,*,EQ,False,
IM,OrganizationName,*,EQ,False,
IM,ItemId,*,EQ,False,
IM,Itemname,*,EQ,False,
IM,Itemprefix,*,EQ,False,
IM,Itemtype,*,EQ,False,
IM,accountgroup,*,EQ,False,
IM,accountclass,*,EQ,False,
IM,ForPrdFrom,*,EQ,False,
IM,ForPrdTo,*,EQ,False,
IM,taxpreference,*,EQ,False,
IM,SectionName,*,EQ,False,
IM,costallocationmethod,*,EQ,False,
IM,department,*,EQ,False,
VM,memberid,*,EQ,False,
VM,membertype,*,EQ,False,
VM,membergroup,*,EQ,False,
VM,organizationname,*,EQ,False,
VM,vendortaxclassification,*,EQ,False,
VM,taxpreference,*,EQ,False,
VM,selectatax,*,EQ,False,
VM,section,*,EQ,False,
VM,gsttreatment,*,EQ,False,
VM,ledgername,*,EQ,False,
VM,ForPrdFrom,*,EQ,False,
VM,pan,*,EQ,False,
G&SRN_BT3H,ReceiverAccount,*,EQ,False,
G&SRN_BT3H,ReceiverName,*,EQ,False,
G&SRN_BT3H,SenderAccount,*,EQ,False,
G&SRN_BT3H,DocumentDate,*,EQ,False,
G&SRN_BT3H,DocumentType,*,EQ,False,
G&SRN_BT3H,Currency,*,EQ,False,
G&SRN_BT3H,Upload,*,EQ,False,
G&SRN_BT3H,category,*,EQ,False,
G&SRN_BT3H,linkref,*,EQ,False,
G&SRN_BT3H,itemid,*,EQ,False,
G&SRN_BT3H,linktype,*,EQ,False,
G&SRN_BT3H,Accountingdate,*,EQ,False,
G&SRN_BT3H,taxtype,*,EQ,False,
G&SRN_BT3H,origdocumentnumber,*,EQ,False,
G&SRN_BT3H,TermsandConditions,*,EQ,False,
G&SRN_BT3H,DocumentNumber,*,EQ,False,
G&SRN_BT3H,orgid,*,EQ,False,
G&SRN_BT3H,financialdate,*,EQ,False,
G&SRN_BT3H,DocumentRef,*,EQ,False,
G&SRN_BT3H,DocumentRefDate,*,EQ,False,
G&SRN_BT3H,ReceiverDeliveryAddress,*,EQ,False,
G&SRN_BT3H,PaymentTerms,*,EQ,False,
G&SRN_BT3H,ModeofDelivery,*,EQ,False,
BT3I,ReceiverAccount,*,EQ,False,
BT3I,ReceiverName,*,EQ,False,
BT3I,SenderAccount,*,EQ,False,
BT3I,SenderName,*,EQ,False,
BT3I,DocumentDate,*,EQ,False,
BT3I,DocumentType,*,EQ,False,
BT3I,ForPrdFrom,*,EQ,False,
BT3I,ForPrdTo,*,EQ,False,
BT3I,ItemID,*,EQ,False,
BT3I,ItemName,*,EQ,False,
BT3I,Currency,*,EQ,False,
BT3I,CostAllocationMethod,*,EQ,False,
BT3I,Upload,*,EQ,False,
BT3I,category,*,EQ,False,
BT3I,Accountingdate,*,EQ,False,
BT3I,SectionName,*,EQ,False,
BT3I,financialdate,*,EQ,False,
BT3I,orgid,*,EQ,False,
BT3I,itemdescription,*,EQ,False,
BT3I,origdocumentnumber,*,EQ,False,
BT3I,uuid,*,EQ,False,
G&SRN_BT3I,ReceiverAccount,*,EQ,False,
