schema_name,component_name,model_id,component_type,component_type_value,component_expr,criteria_count
RoundOffAcc,AmountinLocalCurrency,Bill_H,FETCHFROMSCHEMA,COST,"{\""interimid\"":\""interimid\""}",1
RoundOffAcc,AmountinTransactionCurrency,MATH,MATH,COST,AmountinLocalCurrency,1
CrAccBill_I,journalsno,MATH,MATH,COST,1,1
CrAccBill_I,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
CrAccBill_I,ExpValue,ExpAccBill_I,SUMFROMSCHEMA,COST,"{\""Documentnumber\"":\""Documentnumber\"",\""Itemid\"":\""Itemid\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
CrAccBill_I,GSTValue,GSTAccBill_I,SUMFROMSCHEMA,COST,"{\""Documentnumber\"":\""Documentnumber\"",\""Itemid\"":\""Itemid\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
CrAccBill_I,TDSValue,TDSAccBill_I,SUMFROMSCHEMA,COST,"{\""Documentnumber\"":\""Documentnumber\"",\""Itemid\"":\""Itemid\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
CrAccBill_I,ExpTDSValue,ExpAccBill_I_TDS,SUMFROMSCHEMA,COST,"{\""Documentnumber\"":\""Documentnumber\"",\""Itemid\"":\""Itemid\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
CrAccBill_I,ExpGSTValue,ExpAccBill_I_GST,SUMFROMSCHEMA,COST,"{\""Documentnumber\"":\""Documentnumber\"",\""Itemid\"":\""Itemid\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
CrAccBill_I,Value,MATH,MATH,COST,- (ExpValue + GSTValue + TDSValue + ExpTDSValue + ExpGSTValue),1
CrAccBill_I,AmountinLocalCurrency,MATH,MATH,COST,Value,1
CrAccBill_I,AmountinTransactionCurrency,MATH,MATH,COST,Value/ExchangeRate,1
ProvisionReversalCostAllocation,costallocationparameterperc,ReverseCA,FETCHFROMSCHEMA,COST,"{\""createdid\"":\""linkref\"",\""itemid\"":\""itemid\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""LOB\"":\""LOB\""}",1
ProvisionReversalCostAllocation,Value,ReversalProvisionExpAcc,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""itemid\"":\""itemid\"",\""Linkref\"":\""Linkref\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\""}",1
ProvisionReversalCostAllocation,AmountinLocalCurrency,MATH,MATH,COST,(Value * costallocationparameterperc)/100,1
ProvisionReversalCostAllocation,CostAllocationParameterValue,MATH,MATH,COST,costallocationparameterperc,1
BillCostAllocation,TCostAllocationValue,TCostAllocationValue,FETCHFROMSCHEMA,COST,"{\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""linkref\"":\""linkref\""}",1
BillCostAllocation,CostAllocationParameterValue,BillCostAllocation1,SUMFROMSCHEMA,COST,"{\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""linkref\"":\""linkref\"",\""LOB\"":\""LOB\""}",1
BillCostAllocation,CostAllocationParameterPerc,MATH,MATH,COST,CostAllocationParameterValue / TCostAllocationValue,1
BillCostAllocation,BillAmountinLocalCurrency,AccountingJournal,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""AccountType\"":\""category\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""linkref\"":\""linkref\"",\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""lineref\"":\""lineref\""}",1
BillCostAllocation,AmountinLocalCurrency1,MATH,MATH,COST,BillAmountinLocalCurrency * CostAllocationParameterPerc,1
BillCostAllocation,AmountinLocalCurrency2,BillCostAllocation1,SUMFROMSCHEMA,COST,"{\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""LOB\"":\""LOB\""}",1
BillCostAllocation,AmountinLocalCurrency,MATH,MATH,COST,AmountinLocalCurrency1+AmountinLocalCurrency2,1
